time,EMG1,EMG2,EMG3,flow,volume,poes,pgas,pdi
0,0.012869,-0.0054514,0.0066573,0,0,-4.8945,7.883,12.778
0.001,-0.020053,0.0070087,-0.030695,0.00047124,-1.336e-05,-4.8887,7.8802,12.769
0.002,0.0056228,-0.011749,0.020879,0.00094247,-2.6721e-05,-4.8828,7.8773,12.76
0.003,0.014058,0.041988,0.0011761,0.0014137,-4.0081e-05,-4.8768,7.8744,12.751
0.004,-0.011438,-0.053364,0.006997,0.0018849,-5.3442e-05,-4.8707,7.8715,12.742
0.005,0.0076313,0.0063723,-0.0094832,0.0023561,-6.6802e-05,-4.8646,7.8686,12.733
0.006,-0.030917,0.025568,-0.0033562,0.0028273,-8.0163e-05,-4.8585,7.8657,12.724
0.007,0.047018,-0.0026022,0.00082885,0.0032984,-9.3523e-05,-4.8523,7.8629,12.715
0.008,-0.018632,-0.019756,-0.0059313,0.0037695,-0.00010688,-4.8461,7.86,12.706
0.009,-0.01218,0.02331,0.027464,0.0042406,-0.00012024,-4.8398,7.8572,12.697
0.01,0.0034488,-0.017242,-0.0169,0.0047116,-0.0001336,-4.8334,7.8544,12.688
0.011,0.0064891,0.0032947,-0.012893,0.0051826,-0.00014697,-4.827,7.8516,12.679
0.012,0.0071362,-0.011529,-0.0010504,0.0056535,-0.00016033,-4.8204,7.8488,12.669
0.013,-0.010367,0.033801,0.038053,0.0061244,-0.00017369,-4.8139,7.8461,12.66
0.014,-0.0075153,-0.020397,-0.036349,0.0065952,-0.00018705,-4.8073,7.8434,12.651
0.015,0.02204,-0.0093845,0.014588,0.007066,-0.00020041,-4.8006,7.8407,12.641
0.016,-0.013744,0.0044944,-0.021766,0.0075366,-0.00021377,-4.7939,7.8381,12.632
0.017,-0.0078519,0.015182,0.037622,0.0080073,-0.00022713,-4.7871,7.8355,12.623
0.018,0.012344,-0.0078392,-0.018827,0.0084778,-0.00024049,-4.7803,7.8329,12.613
0.019,-0.0063568,-0.012037,-0.022219,0.0089482,-0.00025385,-4.7734,7.8304,12.604
0.02,0.0056802,0.010738,0.043559,0.0094186,-0.00026721,-4.7664,7.8279,12.594
0.021,0.010872,0.0074172,-0.023287,0.0098888,-0.00028057,-4.7594,7.8255,12.585
0.022,-0.022947,-0.021454,-0.012506,0.010359,-0.00029393,-4.7523,7.8232,12.576
0.023,-0.00074202,0.028099,0.0074287,0.010829,-0.00030729,-4.7452,7.8209,12.566
0.024,0.012133,-0.018938,0.018842,0.011299,-0.00032065,-4.7381,7.8186,12.557
0.025,0.0051559,-0.012616,-0.0008646,0.011769,-0.00033401,-4.7309,7.8164,12.547
0.026,-0.0011076,0.021098,-0.020563,0.012239,-0.00034737,-4.7236,7.8143,12.538
0.027,-0.017016,0.014338,0.0029042,0.012708,-0.00036073,-4.7164,7.8122,12.529
0.028,0.017588,-0.019206,0.00062505,0.013178,-0.00037409,-4.7091,7.8102,12.519
0.029,-0.0088515,-0.019372,-0.0025273,0.013647,-0.00038745,-4.7018,7.8082,12.51
0.03,-0.0045422,0.014863,0.030993,0.014116,-0.00040081,-4.6944,7.8063,12.501
0.031,0.013644,0.028585,-0.021342,0.014585,-0.00041418,-4.6871,7.8044,12.492
0.032,-0.0053804,-0.044162,-0.012853,0.015054,-0.00042754,-4.6798,7.8026,12.482
0.033,-0.0021369,0.027496,0.0070216,0.015523,-0.0004409,-4.6725,7.8009,12.473
0.034,-0.0031003,0.0064625,0.0049586,0.015992,-0.00045426,-4.6651,7.7992,12.464
0.035,0.012973,-0.023494,-0.00067262,0.01646,-0.00046762,-4.6579,7.7976,12.455
0.036,-0.025303,-0.0063583,-0.0030374,0.016928,-0.00048098,-4.6506,7.7961,12.447
0.037,0.021459,0.033186,0.006436,0.017397,-0.00049434,-4.6433,7.7946,12.438
0.038,0.012151,-0.01877,0.0067698,0.017865,-0.0005077,-4.6361,7.7932,12.429
0.039,-0.034944,-0.0026405,-0.018973,0.018332,-0.00052106,-4.6289,7.7919,12.421
0.04,0.019156,-0.0027586,0.0078439,0.0188,-0.00053442,-4.6217,7.7906,12.412
0.041,-0.0025855,0.027544,-0.0019498,0.019267,-0.00054778,-4.6145,7.7894,12.404
0.042,-6.7091e-05,-0.021073,-0.018359,0.019735,-0.00056114,-4.6074,7.7883,12.396
0.043,0.014656,-0.017546,0.050497,0.020202,-0.0005745,-4.6003,7.7872,12.387
0.044,-0.022705,0.016036,-0.023797,0.020669,-0.00058786,-4.5932,7.7862,12.379
0.045,0.010648,0.0082199,-0.011943,0.021135,-0.00060122,-4.5861,7.7852,12.371
0.046,-0.016945,0.0076913,-0.01346,0.021602,-0.00061458,-4.5791,7.7843,12.363
